id,vehicleType,startNodeId,endNodeId,startX,startY,endX,endY,length,width,height,weightKg,maxSpeedKmh,accelMps2,driverAge,responseTimeSec,homeAmenityId,homeDepotName
1,car,trim_6229,11158326325,-1470.73,-1122.44,1068.17,-1004.51,4.09,1.62,1.36,1282,115.4,2.27,32,0.666,,
2,car,trim_5451,trim_9654,2144.18,135.74,-1351.72,1354.72,4.06,1.81,1.48,1092,91.7,2.25,64,0.75,,
3,car,trim_4842,trim_1760,-1219.62,846.78,-239.58,-1420.91,4.45,1.9,1.59,1562,103.6,2.66,70,0.92,,
4,car,trim_9290,trim_7472,-1552.21,1141.77,1961.56,-999.47,4.37,1.93,1.58,1409,99.8,2.39,29,0.653,,
5,car,trim_8947,trim_4414,1123.88,1243.08,2324.23,774.26,4.65,1.89,1.62,1113,105.3,2.56,77,0.951,,
6,car,trim_4708,3004576913,-1338.36,1239.62,647.5660602306848,816.2788518475362,4.27,1.88,1.37,1281,103.1,3.16,61,0.728,,
7,car,4225324707,9857583764,1908.75,295.65,-1388.94,-1150.74,4.85,1.65,1.44,1309,101.1,2.21,34,0.664,,
8,car,trim_414,trim_5540,-2014.11,236.13,2083.19,526.66,4.92,1.9,1.48,1176,96.0,3.11,24,0.735,,
9,car,trim_5891,trim_2715,-1889.34,-1398.98,-1760.32,576.66,4.76,1.94,1.53,1298,107.4,3.16,54,0.755,,
10,bus,trim_7772,trim_3869,-842.95,-517.62,1103.54,-231.64,8.36,2.56,3.03,9316,60.1,0.93,45,0.767,,
11,car,trim_3041,trim_3384,-456.63,383.99,85.3,-487.39,4.53,1.87,1.59,1727,101.3,2.6,16,0.891,,
12,car,12124070266,trim_1058,2380.83,966.87,-829.78,160.45,4.03,1.64,1.44,1175,107.6,2.97,21,0.894,,
13,bus,4225352025,4225219807,-1005.68,1555.23,-762.07,-714.84,7.66,2.45,3.1,13085,66.1,0.92,38,0.861,,
14,car,2970305129,trim_2294,2036.19,-1068.66,2261.64,1105.867470871255,4.91,1.65,1.55,1797,100.2,2.41,74,0.8,,
15,car,9168946246,2960312546,2296.97,564.55,-1225.14,-156.77,4.73,1.93,1.64,1898,116.4,3.08,24,0.68,,
16,car,trim_6683,trim_8636,1403.28,287.93,232.48,-1130,4.87,1.67,1.46,1337,108.0,3.18,47,0.88,,
17,car,9859655316,trim_4840,375.12,-1332.61,-1272.24,840.2,4.65,1.9,1.44,1134,97.4,2.83,51,0.868,,
18,car,trim_5037,trim_1142,2410.16,-562.36,-1833.9,219.45,5.07,1.91,1.41,1073,104.1,2.86,24,0.692,,
19,car,trim_7549,trim_1918,-600.57,-920.33,-375.44,-1295.1,4.97,1.86,1.46,1467,95.4,2.91,77,0.949,,
20,car,trim_2774,trim_2872,-2376.6,385.25,-1914.21,469.1,4.3,1.74,1.63,1526,91.1,2.42,41,0.763,,
21,car,457280271,9857625491,561.71,-678.58,-1128.64,-1423.59,4.24,1.75,1.46,1141,115.3,2.45,26,0.684,,
22,motorcycle,trim_4863,trim_8337,723.52,630.66,-424.65,859.26,2.02,0.74,1.25,180,98.6,3.64,75,0.858,,
23,car,trim_8417,trim_5136,-920.38,-450.97,2232.82,105.61,4.55,1.7,1.36,1398,98.0,2.28,26,0.724,,
24,car,trim_605,trim_407,-2551.52,119.05,-2134.4,135.27,4.6,1.63,1.43,1205,93.6,2.56,41,0.733,,
25,bus,11198935224,trim_4540,-1985.73,-670.1,-662.27,932.82,7.75,2.55,3.46,13073,64.8,1.16,33,0.9,,
26,car,2962837692,12144024513,-141.69,-1301.25,1163.56,1185.32,4.81,1.92,1.35,1270,114.7,2.98,67,0.906,,
27,car,trim_5471,trim_1476,2294.14,33.24,-1528.46,-961.66,4.83,1.6,1.55,1890,118.5,3.07,45,0.707,,
28,car,2962838268,9868746839,-326.98,-1514.38,-785.96,566.28,4.52,1.78,1.59,1682,111.7,2.66,26,0.728,,
29,car,9884318197,trim_8213,657.61,694.27,-2457.83,972.69,4.85,1.84,1.41,1405,106.8,2.57,32,0.726,,
30,motorcycle,trim_2271,trim_4116,729.59,821.45,983.09,432.42,2.05,0.81,1.17,144,92.8,4.13,54,0.732,,
31,car,trim_4595,trim_1245,2406.34,1406.11,-1696.89,-130.85,4.86,1.92,1.4,1857,99.9,2.83,66,0.905,,
32,car,trim_3587,trim_3640,174.23,500.23,-602.31,-977.79,4.07,1.74,1.49,1296,118.9,2.84,54,0.673,,
33,car,trim_4078,11198935227,1016.67,-138.39,-1903.18,-738.01,4.61,1.61,1.56,1440,95.6,2.27,65,0.721,,
34,car,trim_9475,trim_8108,652.31,-377.82,-861.2,807.86,4.73,1.62,1.37,1467,95.2,3.06,68,0.778,,
35,car,trim_5324,trim_8650,1616.36,-393.53,284.1834282175966,-1223.0976033755803,4.59,1.77,1.37,1860,116.0,2.33,42,0.727,,
36,car,5170630791,11168960893,2188.31,438.58,580.61,1099.58,4.73,1.66,1.52,1279,96.1,2.92,74,0.809,,
37,motorcycle,5170823221,2962838330,874.79,341.11,-56.04,-980.26,2.02,0.86,1.26,147,89.9,3.85,78,0.895,,
38,car,trim_3728,trim_4450,-1270.06,-1112.94,1905.59,302.53,4.81,1.7,1.61,1411,111.0,2.91,54,0.748,,
39,car,trim_6613,11061400255,2203.22,-164.5,2235.3,601.86,4.93,1.75,1.4,1556,103.0,2.58,39,0.825,,
40,car,trim_2165,trim_3721,877.18,-273.04,-837.49,-1280.5,4.77,1.62,1.62,1142,116.5,2.74,24,0.825,,
41,car,3887993326,trim_3476,1694.49,1144.66,-490.24,111.53,5.0,1.74,1.58,1109,101.1,2.96,80,0.992,,
42,car,trim_7959,6928966904,-455.77,921.17,-1678.06,-1337.33,4.5,1.69,1.5,1416,92.2,2.89,75,0.845,,
43,car,trim_5939,trim_529,113.24,-1462.35,-1629.4609818506935,-1103.5534410126616,4.94,1.74,1.35,1103,117.5,2.53,75,0.871,,
44,car,trim_4135,trim_4320,2458.78,843.1,1588.05,803,4.6,1.68,1.64,1126,114.6,3.04,37,0.86,,
45,car,4227743878,trim_2218,-1562.76,1202.73,2120.95,-1187.02,4.19,1.64,1.57,1152,110.1,2.21,50,0.688,,
46,car,trim_1061,trim_9619,-788.48,107.08,-82.12,-657.84,4.24,1.61,1.55,1195,110.9,3.04,29,0.748,,
47,car,3840470112,trim_4810,-293.82,1563.81,-1272.13,1246.91,4.06,1.6,1.58,1690,117.9,2.57,46,0.7,,
48,car,trim_7849,9857196233,1664.3079517065348,971.1579180503198,-2613.38,216.41,4.03,1.61,1.6,1612,91.9,3.16,28,0.849,,
49,car,trim_5710,11001379063,1672.18,-731.61,-2345.42,-1048.79,4.18,1.66,1.47,1097,99.8,2.76,40,0.806,,
50,car,2960361495,trim_3813,-1290.85,-1033.68,-979.53,-1262.45,5.03,1.64,1.41,1321,95.2,2.6,56,0.653,,
51,car,trim_3400,12129753488,-430.16,265.95,-1318.87,694.42,4.24,1.83,1.43,1562,91.3,3.09,68,0.755,,
52,car,trim_2914,trim_7146,-2071.46,972.21,-2344.12,268.86,5.08,1.64,1.51,1891,115.5,2.37,28,0.8,,
53,car,12130698100,trim_6133,-1074.77,471.16,-1298.33,-342.51,4.43,1.92,1.58,1120,95.3,2.96,56,0.895,,
54,car,11013660004,trim_2985,-2063.34,-1156.95,-2058.74,791.18,4.07,1.61,1.62,1404,105.3,2.94,80,0.947,,
55,car,n_9709,trim_2098,725.7118037109694,271.50650258480954,618.7,-106.75,4.02,1.87,1.39,1213,102.9,2.44,26,0.665,,
56,car,trim_556,trim_7136,-1515.83,-24.23,-2357.82,247.92,4.33,1.65,1.41,1034,117.7,2.8,72,0.905,,
57,car,trim_8540,trim_1845,-659.79,913.85,-22.66,-839.84,4.31,1.83,1.58,1469,119.3,2.85,52,0.838,,
58,truck,5170798245,trim_8007,146.36,-83.14,2182.25,-923.79,10.4,2.4,2.77,5595,78.4,1.29,44,0.802,,
59,car,trim_1561,trim_7230,-1135.73,-557.82,-2123.37,-325.66,4.35,1.75,1.35,1783,92.1,2.39,34,0.885,,
60,car,trim_3564,trim_5217,850.65,-838.98,1176.48,-85.7,4.19,1.79,1.59,1184,105.2,2.63,75,0.828,,
61,car,3887993323,9858060958,1488.95,1125.34,-272.14,490.89,4.27,1.66,1.42,1257,103.4,2.84,50,0.866,,
62,car,9112538488,9843492409,-2018.7,836.14,1439.95,872.71,5.05,1.73,1.46,1424,102.7,2.81,71,0.9,,
63,car,trim_5538,4227743783,2052.84,496.28,1486.47,-73.87,4.53,1.87,1.48,1075,117.2,2.5,35,0.788,,
64,car,2960312587,trim_3077,-588.65,-382.57,473.91,-235.68,4.42,1.71,1.43,1506,104.4,2.53,76,0.809,,
65,car,trim_86,5170637551,698.68,-50.68,1212.81,130.04,4.01,1.78,1.57,1442,117.8,3.14,63,0.746,,
66,car,12139754114,12131201622,-445.25,1375.94,-880.29,160.02,5.09,1.62,1.62,1893,93.7,3.13,36,0.699,,
67,car,trim_6900,trim_3551,-2256.71,1359.52,588.17,-291.94,4.85,1.86,1.45,1638,109.0,2.57,23,0.813,,
68,car,trim_6873,trim_6719,-2346.884199968567,839.81,1202.61,1474.44,4.27,1.77,1.63,1325,111.2,2.23,34,0.715,,
69,car,trim_719,trim_6248,-1618.29,680.75,-1394.34,-1397.13,4.16,1.69,1.52,1596,94.8,2.32,27,0.811,,
70,motorcycle,9859596011,11757325224,-964.12,-440.83,-1243.68,-1238.96,2.15,0.89,1.08,246,106.3,3.25,70,0.763,,
71,motorcycle,trim_2208,trim_6821,-4.69,1085.08,-2509.03,-28.81,2.28,0.81,1.18,156,92.3,4.31,27,0.677,,
72,car,9168861181,5170639283,-1225.87,-868.76,2066.93,-88.15,4.88,1.88,1.43,1189,112.4,2.9,16,1.047,,
73,bus,4227798483,trim_2759,2200.31,571.04,-2347.11,700.37,7.0,2.41,3.42,11150,76.4,1.24,37,0.694,,
74,car,11283754533,2960336791,638.9331600968895,806.5948299551393,-1198.79,351.93,4.15,1.77,1.5,1099,107.0,2.41,41,0.665,,
75,car,2970305419,11143195276,-1007.88,1652.42,2305.24,609.4,4.84,1.69,1.62,1368,108.8,2.82,37,0.67,,
76,car,trim_4307,9859566828,906.16,586.68,-1219.64,-239.78,4.14,1.62,1.36,1211,104.6,2.96,17,0.785,,
77,motorcycle,2962860531,trim_3999,-453.89,-1312.33,904.66,356.23,2.13,0.85,1.06,142,103.8,3.56,50,0.883,,
78,car,trim_7191,9859747844,-1832.19,431.36,-39.44,-1463.87,4.37,1.75,1.46,1801,120.0,3.02,62,0.816,,
79,car,trim_1322,trim_4732,-1134.12,-328.39,-1501.08,1105.58,4.06,1.72,1.45,1090,103.7,2.9,33,0.656,,
80,car,trim_6541,9855691350,539.04,-1221.98,2433.28,-845.72,4.58,1.93,1.58,1224,103.6,2.89,76,0.889,,
81,car,4223620634,trim_8804,-2452.75,-681.14,671.69,684.83,4.0,1.82,1.63,1290,109.0,3.07,57,0.819,,
82,motorcycle,trim_3074,trim_4793,461.42,-281.09,-1557.28,1183.24,2.04,0.83,1.33,162,108.2,4.41,76,1.007,,
83,car,trim_6635,2960336669,2199.42,-814.74,-1581.6,-358.13,5.0,1.86,1.44,1176,94.3,2.72,80,0.808,,
84,car,trim_6851,trim_5561,-2346.78,202.33,1796.68,-38.75,4.1,1.89,1.65,1888,104.0,3.1,30,0.771,,
85,car,trim_8527,trim_3230,-1416.65,-1194.79,142.86,-462.46,4.27,1.66,1.63,1630,93.2,3.19,19,0.75,,
86,car,trim_8675,9859618306,-449.29,866.82,-938.16,-525.49,4.84,1.68,1.43,1429,116.9,2.32,33,0.881,,
87,car,2960312454,12121616911,-1023,342.63,1627.07,1504.62,4.54,1.88,1.45,1201,107.3,3.12,24,0.811,,
88,car,2960312531,12143948728,-1326.01,-156.08,1043.13,906.24,4.82,1.85,1.55,1707,119.0,2.64,45,0.706,,
89,car,n_9820,trim_5842,1532.2042479331576,-603.8109434293709,-890.07,805.02,4.1,1.63,1.57,1843,112.3,2.32,63,0.682,,
90,car,trim_2521,trim_1558,279.77,1425.55,-1147.98,-504.34,4.63,1.6,1.37,1482,115.4,3.18,56,0.843,,
91,car,trim_5467,10308512103,1895.69,-91.27,-1237.78,-1343.36,5.03,1.64,1.55,1532,93.2,2.21,74,0.819,,
92,car,trim_6975,trim_9677,2164.92,604,-267.1,674.41,4.92,1.77,1.49,1541,94.4,2.87,20,0.83,,
93,car,trim_2505,trim_8531,-10.68,1505.91,-2480.15,201.51,5.09,1.64,1.65,1636,104.3,3.03,79,0.863,,
94,car,trim_6130,trim_6800,-1367.2,-167.96,1762.93,921.91,5.08,1.72,1.6,1190,112.0,3.01,22,0.881,,
95,motorcycle,5170639291,trim_9610,2077.28,-184.69,-546.82,16.27,2.23,0.83,1.15,232,107.4,3.24,18,0.877,,
96,motorcycle,9850223962,trim_2447,-841.06,1826.31,-2467.393878901492,467.56761913341455,2.14,0.9,1.32,169,95.8,3.42,40,0.825,,
97,car,trim_3702,7222863952,-1208.94,-999.97,-879.67,-1348.59,4.11,1.71,1.59,1779,91.6,3.13,54,0.764,,
98,car,trim_7670,9857583758,-639.3300998406413,-489.8824750398397,-1314.57,-1088.37,4.15,1.84,1.44,1130,96.5,2.95,17,0.861,,
99,car,9857332622,9857647464,2315.9,-823.02,-1016.92,-1193.66,4.11,1.87,1.61,1339,119.5,2.88,37,0.881,,
100,car,trim_5703,trim_857,1143.89,-384.48,-1158.51,-27.17,5.07,1.66,1.37,1882,109.5,2.79,35,0.807,,
101,car,9168911127,9859493782,-1500.29,-1469.34,416.98,-452.12,4.04,1.68,1.5,1619,118.6,2.85,64,0.844,,
102,car,4227743788,6925898201,1375.91,26.73,-1827.15,-1592.97,4.72,1.87,1.61,1585,98.3,2.85,63,0.653,,
103,car,trim_3528,trim_4319,950.58,-450.38,1543.46,795.62,4.13,1.82,1.62,1202,107.6,3.19,77,0.838,,
104,car,9168953548,4225324631,189.26,-1559.09,947.73,-96.93,4.87,1.66,1.5,1580,103.0,2.77,28,0.731,,
105,car,11983071281,11909810166,1132.74,1263.78,1967.13,-645.19,4.87,1.66,1.59,1018,106.7,2.74,78,0.796,,
106,car,4227797884,9852405421,1746.29,-1410.82,-2219.71,-103.88,4.59,1.89,1.55,1678,96.2,2.86,31,0.695,,
107,car,4225077443,trim_3646,-2122.74,1044.6,-741.03,-906.07,4.2,1.79,1.59,1111,93.9,2.41,36,0.672,,
108,motorcycle,trim_3104,trim_5871,514.88,-154.54,2411.61,-557.62,2.18,0.67,1.09,155,109.0,3.26,16,0.862,,
109,car,trim_9451,9852405441,1476.8,406.46,-2347.22,-61.46,5.0,1.7,1.51,1126,104.7,2.51,61,0.802,,
